#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:05Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:06Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:07Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:08Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:09Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:10Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:11Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:12Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:13Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:14Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:15Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:16Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:17Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:18Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:19Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:20Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:21Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:22Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:23Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:24Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:25Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
,,1,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:32:26Z,55.355,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomOutFlow
